prior=0.5415858	Tove Lo
prior=0.5414458	王冕
prior=0.5413996	Noah Cyrus
prior=0.5413401	bülow
prior=0.5413268	EXO-K
prior=0.5413037	吳宗憲
prior=0.5412498	Ella Henderson
prior=0.5412428	秀智
prior=0.541184	Disciples
prior=0.541072	Sofi Tukker
prior=0.5410657	Lost Frequencies and Zonderling
prior=0.5410272	Gabrielle Aplin
prior=0.5409824	棉花糖
prior=0.5409201	華晨宇 and 楊宗緯
prior=0.5407164	Kehlani
prior=0.5406947	金泰亨 and 金碩珍
prior=0.5406478	周蕙
prior=0.5406345	Chainsmokers and Tritonal
prior=0.5406345	The Chainsmokers and Tritonal
prior=0.5405358	Chelsea Cutler and Jeremy Zucker
prior=0.540519	Oasis
prior=0.5404679	BOBBY
prior=0.5403524	Tracy Chapman
prior=0.5401914	Triple H
prior=0.5401438	Mario
prior=0.5401158	Mabel and Not3s
prior=0.5400689	許富凱
prior=0.5400157	Gai
prior=0.5400031	Miguel
prior=0.5399737	Galantis and Hook N Sling
prior=0.539952	Alesso and OneRepublic
prior=0.5399044	The Rose
prior=0.5399044	Rose
prior=0.5398652	Lil Uzi Vert Quavo and Travis Scott
prior=0.5397392	Mariah Carey
prior=0.5396965	白智英
prior=0.5396825	信
prior=0.5396678	Shania Twain
prior=0.5395614	鄭承煥
prior=0.5395509	Why Don't We
prior=0.5392849	Zion T and Crush
prior=0.5391477	BUMKEY
prior=0.5389923	Lil Uzi Vert
prior=0.5389601	王大文
prior=0.5389377	Westlife
prior=0.5389188	Elton John
prior=0.5388761	OneRepublic and Seeb
prior=0.5388579	韓紅 and 林俊傑
prior=0.5388131	小男孩樂團
prior=0.5387956	James TW
prior=0.5387396	CNBLUE
prior=0.5387081	那英
prior=0.5385842	Dimitri Vegas and Like Mike and David Guetta
