prior=0.7	Taylor Swift
prior=0.5249615	Maroon 5 and Julia Michaels
prior=0.5249132	DEAN
prior=0.5249104	Axwell Λ Ingrosso
prior=0.5248467	HANA菊梓乔 and 王浩信
prior=0.5247823	Alan Walker and David Whistle
prior=0.5247711	张学友 and 郑中基
prior=0.5247095	张津涤
prior=0.5247074	Imagine Dragons and Khalid
prior=0.5245821	老狼
prior=0.5245681	郑伊健
prior=0.5243889	Rudimental and Major Lazer
prior=0.5243567	韦礼安
prior=0.5241691	The Lumineers
prior=0.5241691	Lumineers
prior=0.5241439	PSY
prior=0.5241432	Higher Brothers
prior=0.5241369	Sarah McLachlan
prior=0.5241306	MAMAMOO
prior=0.5241264	陈昇
prior=0.524034	麦浚龙
prior=0.5240284	Tracy Chapman
prior=0.5239822	Wanna One No 1
prior=0.5239451	Sarah Connor
prior=0.5239234	Zella Day
prior=0.5239059	Robinson
prior=0.5239059	George Michael
prior=0.5239038	大张伟
prior=0.5238688	Panic At the Disco
prior=0.5238576	LMFAO
prior=0.5237995	Yuno
prior=0.5237071	Led Zeppelin
prior=0.5237008	The Cranberries
prior=0.5237008	Cranberries
prior=0.5236679	Swedish House Mafia
prior=0.5235846	Higher Brothers and HARIKIRI
prior=0.5235468	萧煌奇
prior=0.5234803	马克西姆
prior=0.5233431	李丽芬
prior=0.5232892	Lost Frequencies
prior=0.5231478	AsAP Rocky
prior=0.5231016	RL Grime
prior=0.5230953	纳兰珠儿 and 高安
prior=0.5230533	Zara Larsson and MNEK
prior=0.5230442	薛明媛
prior=0.5230141	金莎
prior=0.522984	南瓜妮歌迷俱乐部
prior=0.5229602	じょばんに
prior=0.5229462	10cm
prior=0.522858	Luis Fonsi and Demi Lovato
prior=0.5227614	莫文蔚 and 伍佰
prior=0.5227173	James Hype
prior=0.5226802	Migos
prior=0.5226746	汪苏泷 and 吴映洁
prior=0.5226501	吴业坤
prior=0.5226144	Simon and Garfunkel
prior=0.5225997	Queen
prior=0.5225731	金贵晟
prior=0.5225311	Tizzy T
prior=0.5224891	李宗盛 and 林忆莲
prior=0.5223687	李毓芬
prior=0.5221972	金志文
prior=0.5221692	Florence The Machine
prior=0.5221244	四叶草
prior=0.5221237	Shayne Ward
prior=0.522116	Disciples
prior=0.5220978	李克勤 and 容祖儿
prior=0.5220236	Sarah Brightman
prior=0.5218969	Billie Eilish and Khalid
prior=0.5218682	好妹妹乐队
prior=0.5218178	Owl City
prior=0.5218129	甄妮 and 罗文
prior=0.5218122	彭家丽 and 苏永康
prior=0.5217233	王心凌
prior=0.5217086	ZICO
prior=0.5215987	Sean Kingston and 贾斯汀 比伯
prior=0.5215903	Of Monsters and Men
prior=0.5213705	Craig David
prior=0.521353	杨洋
prior=0.5212942	Timmy Trumpet and Savage
prior=0.5212599	Yael Naïm
prior=0.5212445	吴克群
prior=0.5212186	连诗雅
prior=0.521136	GARNiDELiA
