prior=0.7	BLACKPINK
prior=0.5419484	ALMA
prior=0.5418882	黎瑞恩
prior=0.5418637	Macklemore
prior=0.5418455	OH MY GIRL
prior=0.5417195	胡66
prior=0.541674	Emma Watson Luke Evans and Ensemble Beauty and the Beast
prior=0.5416194	F4
prior=0.5416124	元若藍 and 吳忠明
prior=0.541604	David Guetta Martin Garrix and Brooks
prior=0.541604	NCT 127
prior=0.5414465	Timbaland
prior=0.5413562	久保田利伸
prior=0.5413163	Oasis
prior=0.5413009	DREAMCATCHER
prior=0.5410489	田馥甄 and 井柏然
prior=0.5410363	朴樹
prior=0.5408487	Chainsmokers and Tritonal
prior=0.5408487	The Chainsmokers and Tritonal
prior=0.540813	Fitz and The Tantrums
prior=0.540729	梅艷芳
prior=0.54068	Yiruma
prior=0.5406408	Alesso
prior=0.5403272	陳柏宇 and 林奕匡
prior=0.54019	張棟樑
prior=0.5401879	BOL4 and Twenty Years of Age
prior=0.5401662	Michael Jackson and Justin Timberlake
prior=0.5401501	SEJEONG
prior=0.5400129	Kolor
prior=0.5398071	Vitamin A
prior=0.5397343	嚴爵
prior=0.5396272	Starley
prior=0.5396244	이유 갓지 않은 이유
prior=0.5394984	Against The Current and TAKA
prior=0.5393612	Naughty Boy
prior=0.5393129	21 Savage
prior=0.5391358	Calum Scott
prior=0.5390511	George Benson
prior=0.5390238	Bastille
prior=0.5389538	小雪
prior=0.5385611	Diddy Dirty Money and Skylar Grey
prior=0.5384421	胡定欣 and 馬浚偉
prior=0.5384078	SG Wannabe
prior=0.5383791	Kristen Bell and Santino Fontana
prior=0.5379808	麥家瑜
prior=0.5379115	Gotye
prior=0.5378205	王祖藍
prior=0.5377183	Dawin
prior=0.537642	Wildchild
prior=0.5375741	Daya
prior=0.5374747	陳慧嫻
prior=0.5374278	讚美之泉
prior=0.5373011	鍾舒漫
prior=0.5372689	Robin Schulz David Guetta and Cheat Codes
prior=0.5371835	Green Day
prior=0.5371415	筷子兄弟
prior=0.5370015	Idina Menzel and Kristen Bell
prior=0.5369665	Jung Seung Hwan
prior=0.5369518	Grace
prior=0.5364422	梁文音
prior=0.5361762	Baek A Yeon
prior=0.5361573	Shin Seung Hun
prior=0.5361461	Sigala and Ella Eyre
prior=0.5360635	TAEMIN
prior=0.53606	Migos
prior=0.5360425	Ania
prior=0.5360005	吳青峰
prior=0.5356694	Robynn and Kendy and 林奕匡
prior=0.5356113	at17
prior=0.5355833	Kungs and Cookin' On 3 Burners
prior=0.5355525	葉巧琳
prior=0.5355392	張燊悅 and 余文樂
prior=0.5355224	Martin Solveig
